objectid,park,park_no,bldg_id,bldg_name,category,bldg_type,field_house_class,status,year_built,stories,building_sqft,owner,address,ward,community,lat,lon,provenance,source
235,GRAND CROSSING,15,0015-04,Filter Room,pool,POOL BUILDING,,ACTIVE,,1,,CPD,,8,GREATER GRAND CROSSING,41.756155,-87.60048,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
236,GRANT (ULYSSES),24,0024-01,Chicago Yacht Club,other,YACHT CLUB,,ACTIVE,,,,OTHER,400 E MONROE,42,LOOP,41.881122,-87.616079,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
237,GRANT (ULYSSES),24,0024-02,John G. Shedd Aquarium,museum,MUSEUM,,ACTIVE,1930,1,149200,OTHER,1200 S LAKE SHORE DR,4,NEAR SOUTH SIDE,41.867692,-87.613649,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
238,GRANT (ULYSSES),24,0024-03,Field Museum of Natural History,museum,MUSEUM,,ACTIVE,1921,1,,OTHER,1400 S LAKE SHORE DR,4,NEAR SOUTH SIDE,41.86624,-87.617031,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
239,GRANT (ULYSSES),24,0024-04,Art Institute of Chicago,museum,MUSEUM,,ACTIVE,1893,2,562000,OTHER,201 S MICHIGAN AVE,42,LOOP,41.879591,-87.623843,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
240,GRANT (ULYSSES),24,0024-05,Petrillo Band Shell,other,BAND SHELL,,ACTIVE,,,,CPD,251 S COLUMBUS DR,42,LOOP,41.878874,-87.620074,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
241,GRANT (ULYSSES),24,0024-06,9th Street Landscape Yard (Office),other,MAINTENANCE,,ACTIVE,,,,CPD,900 S COLUMBUS DR,4,LOOP,41.870243,-87.620903,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
242,GRANT (ULYSSES),24,0024-07,11th Street Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,"1100 South, East of Columbus",4,LOOP,41.869034,-87.620066,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
243,GRANT (ULYSSES),24,0024-08,9th Strret Landscape Yard (Garage),other,MAINTENANCE,,ACTIVE,,,,CPD,900 S COLUMBUS DR,4,LOOP,41.870324,-87.62138,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
244,GRANT (ULYSSES),24,0024-09,Petrillo Band Shell Utility Building,other,UTILITY STRUCTURE,,ACTIVE,,,,CPD,,42,LOOP,41.879239,-87.619556,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
245,GRANT (ULYSSES),24,0024-10,Monroe Harbor Building,other,HARBOR BUILDING,,ACTIVE,,,2900,CPD,,42,LOOP,41.880691,-87.616282,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
246,GRANT (ULYSSES),24,0024-11,Randolph Street Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,Randolph east of LSD,42,LOOP,41.884227,-87.613275,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
247,GRANT (ULYSSES),24,0024-12,Balbo Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,SW Corner of Balbo & LSD,4,LOOP,41.872983,-87.62141,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
248,GRANT (ULYSSES),24,0024-13,Art Institute Modern Wing,museum,MUSEUM,,ACTIVE,2009,3,264000,OTHER,159 E Monroe St,42,LOOP,41.880442,-87.621629,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
249,GRANT (ULYSSES),24,0024-14,DuSable Harbor Concession,other,CONCESSION,,ACTIVE,,1,,CPD,"(on Harbor Service Dr., East of Lake Shore Dr.)",42,LOOP,41.886292,-87.61296,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
250,GRANT (ULYSSES),24,0024-15,Randolph Street Concession,other,CONCESSION,,ACTIVE,,1,,CPD,(on Randolph East of Lake Shore Dr),42,LOOP,41.884305,-87.613127,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
251,GRANT (ULYSSES),24,0024-17,Monroe Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,(on Monroe East of Lake Shore Dr),42,LOOP,41.880602,-87.61635,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
252,GRAVER (PHILIP),179,0179-01,Graver Park Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,1929,1,11173,CPD,1500 W 102ND PL,19,BEVERLY,41.707431,-87.660907,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
253,GREEN BRIAR,188,0188-01,Green Briar Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1928,2,20928,CPD,2650 W PETERSON AVE,40,WEST RIDGE,41.990815,-87.696366,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
254,HAAS (JOSEPH),1032,1032-01,Haas Park Fieldhouse,field_house,FIELDHOUSE B,B,ACTIVE,2011,1,10250,CPD,2402 N WASHTENAW AVE,1,LOGAN SQUARE,41.925177,-87.69517,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
255,HALE (NATHAN),234,0234-01,Hale Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,,1,16000,CPD,6140 S MELVINA AVE,13,CLEARING,41.779926,-87.778506,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
256,HALE (NATHAN),234,0234-02,Dressing Room,pool,POOL BUILDING,,ACTIVE,,1,,CPD,,13,CLEARING,41.780968,-87.77806,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
257,HALE (NATHAN),234,0234-03,North Filter Building,pool,POOL BUILDING,,ACTIVE,,1,,CPD,,13,CLEARING,41.780856,-87.77827,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
258,HALE (NATHAN),234,0234-04,South Filter Building,pool,POOL BUILDING,,ACTIVE,,1,,CPD,,13,CLEARING,41.78063,-87.778272,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
259,HAMILTON (ALEXANDER),9,0009-01,Hamilton Park Bath House,pool,POOL BUILDING,,ACTIVE,1951,1,,CPD,,6,ENGLEWOOD,41.762152,-87.635861,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
260,HAMILTON (ALEXANDER),9,0009-02,Hamilton Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1904,2,54758,CPD,513 W 72ND ST,6,ENGLEWOOD,41.762763,-87.637662,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
261,HAMILTON (ALEXANDER),9,0009-03,,other,UTILITY STRUCTURE,,ACTIVE,,,,CPD,513 W 72ND ST,6,ENGLEWOOD,41.763044,-87.639014,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
262,HAMILTON (ALEXANDER),9,0009-04,Filter Building,pool,POOL BUILDING,,ACTIVE,1996,1,210,CPD,,6,ENGLEWOOD,41.761903,-87.636115,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
263,HAMILTON (ALEXANDER),9,0009-05,Service Yard,other,MAINTENANCE,,ACTIVE,,,,CPD,,6,ENGLEWOOD,41.760141,-87.638951,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
264,HAMLIN (HANNIBAL),106,0106-01,Hamlin Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1910,2,49024,CPD,3035 N HOYNE AVE,32,NORTH CENTER,41.937189,-87.680063,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
265,HAMLIN (HANNIBAL),106,0106-02,Locker Building,pool,POOL BUILDING,,ACTIVE,1911,1,,CPD,,32,NORTH CENTER,41.937239,-87.680553,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
266,HARRIS (HARRIET),524,0524-01,Harris Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1969,2,75000,CPD,6200 S DREXEL AVE,20,WOODLAWN,41.781721,-87.604873,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
267,HARRISON (CARTER),213,0213-01,Harrison Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1928,2,,CPD,1824 S WOOD ST,25,LOWER WEST SIDE,41.856811,-87.671733,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
268,HARRISON (CARTER),213,0213-02,National Museum of Mexican Art,museum,MUSEUM,,ACTIVE,2005,1,,OTHER,1801 W 18TH ST,25,LOWER WEST SIDE,41.856174,-87.672992,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
269,HARRISON (CARTER),213,0213-04,Harrison Park Natatorium,pool,POOL BUILDING,,ACTIVE,,1,,CPD,,25,LOWER WEST SIDE,41.85682,-87.672229,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
270,HARSH (VIVIAN G.),324,0324-01,Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,4,KENWOOD,41.814057,-87.595536,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
271,HAYES (FRANCIS),242,0242-01,Hayes Park Fieldhouse,field_house,FIELDHOUSE B,B,ACTIVE,1976,1,14756,CPD,2936 W 85TH ST,18,ASHBURN,41.738913,-87.696804,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
272,HAYES (FRANCIS),242,0242-02,Hayes Park Natatorium,pool,POOL BUILDING,,ACTIVE,2004,1,18800,CPD,3025 W 83RD ST,18,ASHBURN,41.739023,-87.697281,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
273,HERMITAGE,1008,1008-01,Hermitage Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1948,1,800,CPD,5839 S WOOD ST,15,WEST ENGLEWOOD,41.787215,-87.668468,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
274,HERMOSA,125,0125-01,Hermosa Park Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,1926,1,7289,CPD,2240 N KILBOURN AVE,36,HERMOSA,41.922059,-87.739609,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
275,HIAWATHA,229,0229-01,Hiawatha Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1979,1,23618,CPD,8029 W FOREST PRESERVE AVE,38,DUNNING,41.943754,-87.827505,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
276,HOLLY,325,0325-01,Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,4,OAKLAND,41.820459,-87.603495,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
277,HOLLYWOOD,75,0075-01,Hollywood Park Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,1967,1,2640,CPD,3312 W THORNDALE AVE,39,NORTH PARK,41.989182,-87.711905,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
278,HOLSTEIN,203,0203-01,Holstein Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1912,2,25511,CPD,2200 N OAKLEY AVE,32,LOGAN SQUARE,41.921717,-87.685095,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
279,HORNER (HENRY),228,0228-01,Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,4201 N CALIFORNIA AVE,33,IRVING PARK,41.957918,-87.697779,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
280,HOYNE (THOMAS),1036,1036-01,Hoyne Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1949,1,,CPD,3417 S HAMILTON AVE,12,MCKINLEY PARK,41.831635,-87.678803,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
281,HUMBOLDT (ALEXANDER VON),219,0219-01,Bath House,pool,POOL BUILDING,,ACTIVE,1914,1,5328,CPD,3041 W AUGUSTA BLVD,26,HUMBOLDT PARK,41.899002,-87.703682,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
282,HUMBOLDT (ALEXANDER VON),219,0219-02,LeMoyne Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,26,WEST TOWN,41.908627,-87.70018,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
283,HUMBOLDT (ALEXANDER VON),219,0219-03,State of Illinois Dept of Military Affairs,other,ARMORY,,ACTIVE,,3,,STATE,1551 N KEDZIE AVE,26,WEST TOWN,41.909688,-87.706236,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
284,HUMBOLDT (ALEXANDER VON),219,0219-04,Humboldt Park Field House,field_house,FIELDHOUSE A1,A1,ACTIVE,1927,3,57229,CPD,1400 N HUMBOLDT DR,26,WEST TOWN,41.907106,-87.702997,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
285,HUMBOLDT (ALEXANDER VON),219,0219-05,,other,CONCESSION,,ACTIVE,,1,,OTHER,,26,WEST TOWN,41.908258,-87.697187,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
286,HUMBOLDT (ALEXANDER VON),219,0219-06,Garden Hall,other,SHELTER,,ACTIVE,,1,,CPD,1400 N HUMBOLDT DR,26,WEST TOWN,41.903827,-87.703409,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
287,HUMBOLDT (ALEXANDER VON),219,0219-07,Humboldt Park Boathouse Pavilion,other,HISTORIC,,ACTIVE,1876,3,7000,CPD,1301 N HUMBOLDT DR,26,WEST TOWN,41.905643,-87.700777,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
288,HUMBOLDT (ALEXANDER VON),219,0219-09,National Museum of Puerto Rican Arts & Culture,museum,MUSEUM,,ACTIVE,1896,2,26000,CPD,3102 W DIVISION ST,26,WEST TOWN,41.902452,-87.703352,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
289,HUMBOLDT (ALEXANDER VON),219,0219-10,Little Cubs Field Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,1400 N HUMBOLDT DR,26,WEST TOWN,41.906106,-87.70577,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
290,HUMBOLDT (ALEXANDER VON),219,0219-11,South Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,26,WEST TOWN,41.899874,-87.705118,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
291,HUMBOLDT (ALEXANDER VON),219,0219-12,La Esquina del Sabor,other,CONCESSION,,ACTIVE,,,,OTHER,,26,WEST TOWN,41.909128,-87.702075,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
292,HUMBOLDT (ALEXANDER VON),219,0219-13,El Secreto del Sabor,other,CONCESSION,,ACTIVE,,,,OTHER,,26,WEST TOWN,41.90306,-87.705636,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
293,INDEPENDENCE,83,0083-01,,other,UTILITY STRUCTURE,,ACTIVE,,,,CPD,,45,IRVING PARK,41.952299,-87.723011,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
294,INDEPENDENCE,83,0083-02,Independence Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1914,2,26790,CPD,3945 N SPRINGFIELD AVE,45,IRVING PARK,41.952991,-87.724769,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
295,INDEPENDENCE,83,0083-03,Independence Park Bungalow,other,HISTORIC,,ACTIVE,1920,2,6100,CPD,3900 N HAMLIN AVE,45,IRVING PARK,41.952144,-87.722929,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
296,INDIAN BOUNDARY,165,0165-01,Indian Boundary Nature Play Center,other,CULTURAL CENTER,,ACTIVE,,1,,CPD,,50,WEST RIDGE,42.010156,-87.694123,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
297,INDIAN BOUNDARY,165,0165-02,Maintenance Building,other,MAINTENANCE,,ACTIVE,1960,1,,CPD,2500 W LUNT AVE,50,WEST RIDGE,42.010234,-87.694611,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
298,INDIAN BOUNDARY,165,0165-04,Indian Boundary Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,1929,1,2244,CPD,2500 W LUNT AVE,50,WEST RIDGE,42.008966,-87.692513,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
299,INDIAN ROAD,1038,1038-01,Indian Road Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1960,1,,CPD,6010 W MATSON AVE,39,NORWOOD PARK,41.992933,-87.778434,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
300,JACKSON (ANDREW),19,0019-01,57th Street Beach House,field_house,FIELDHOUSE BH2,BH2,ACTIVE,1998,1,,CPD,,5,HYDE PARK,41.79195,-87.579815,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
301,JACKSON (ANDREW),19,0019-02,Jackson Park Yacht Club,other,YACHT CLUB,,ACTIVE,,,,OTHER,,5,WOODLAWN,41.777579,-87.572604,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
302,JACKSON (ANDREW),19,0019-03,62nd Street Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,5,WOODLAWN,41.782991,-87.585192,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
303,JACKSON (ANDREW),19,0019-04,Comfort Station,other,INACTIVE: COMFORT STATION,,ACTIVE,1912,1,,CPD,2200 E MARQUETTE RD,5,WOODLAWN,41.775027,-87.569598,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
304,JACKSON (ANDREW),19,0019-05,63rd Street Bathing Pavilion,field_house,FIELDHOUSE BH2,BH2,ACTIVE,1919,2,35000,CPD,6245 S LAKE SHORE DR,5,WOODLAWN,41.781446,-87.573693,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
305,JACKSON (ANDREW),19,0019-07,,other,UTILITY STRUCTURE,,ACTIVE,,,,CPD,,5,HYDE PARK,41.792017,-87.581838,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
306,JACKSON (ANDREW),19,0019-08,Bowling Green Club House,other,CLUBHOUSE,,ACTIVE,1927,1,,CPD,5800 S LAKE SHORE DR,5,HYDE PARK,41.789123,-87.578936,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
307,JACKSON (ANDREW),19,0019-09,Jackson Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,,1,16420,CPD,6401 S STONY ISLAND AVE,5,WOODLAWN,41.778879,-87.585462,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
308,JACKSON (ANDREW),19,0019-10,Museum Shores Yacht Club,other,YACHT CLUB,,ACTIVE,,,,OTHER,,5,HYDE PARK,41.788351,-87.57947,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
309,JACKSON (ANDREW),19,0019-12,Garden Shelter,other,SHELTER,,ACTIVE,,,,CPD,,5,HYDE PARK,41.786169,-87.5827,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
310,JACKSON (ANDREW),19,0019-13,Osaka Garden Torii Gate,other,SPECIAL,,ACTIVE,,,,CPD,,5,HYDE PARK,41.786804,-87.583074,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
311,JACKSON (ANDREW),19,0019-14,,other,HARBOR BUILDING,,ACTIVE,,,,CPD,,5,WOODLAWN,41.777483,-87.572396,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
312,JACKSON (ANDREW),19,0019-16,Museum of Science & Industry,museum,MUSEUM,,ACTIVE,1893,2,,OTHER,5700 S LAKE SHORE DR,5,HYDE PARK,41.790853,-87.582928,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
313,JACKSON (ANDREW),19,0019-17,La Rabida Children's Hopsital,other,HOSPITAL,,ACTIVE,,2,,OTHER,6501 S PROMONTORY DR,5,WOODLAWN,41.777373,-87.571379,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
314,JACKSON (ANDREW),19,0019-18,Cecil Partee Golf Clubhouse,other,GOLF BUILDING,,ACTIVE,,1,,CPD,,5,WOODLAWN,41.779286,-87.580522,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
315,JACKSON (ANDREW),19,0019-19,,other,UTILITY STRUCTURE,,ACTIVE,,,,,,5,WOODLAWN,41.773997,-87.57672,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
316,JACKSON (ANDREW),19,0019-20,,other,UTILITY STRUCTURE,,ACTIVE,,,,CPD,,5,HYDE PARK,41.791989,-87.584067,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
317,JACKSON (ANDREW),19,0019-21,,other,HARBOR BUILDING,,ACTIVE,,,,CPD,,5,WOODLAWN,41.778892,-87.575133,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
318,JACKSON (ANDREW),19,0019-22,,other,UTILITY STRUCTURE,,ACTIVE,,,,,,5,HYDE PARK,41.788947,-87.5794,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
319,JACKSON (ANDREW),19,0019-23,Harbor Master's Office,other,HARBOR BUILDING,,ACTIVE,,,11595,CPD,6401 S COAST GUARD DR,5,WOODLAWN,41.77865,-87.575182,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
320,JACKSON (ANDREW),19,0019-25,,other,UTILITY STRUCTURE,,ACTIVE,,,,CPD,,5,WOODLAWN,41.779189,-87.579088,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
321,JACKSON (ANDREW),19,0019-26,Starters Shed,other,GOLF BUILDING,,ACTIVE,,1,,CPD,,5,WOODLAWN,41.779152,-87.580991,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
322,JACKSON (ANDREW),19,0019-28,Iowa Building,other,SHELTER,,ACTIVE,1937,1,,CPD,57th & LSD,5,HYDE PARK,41.793136,-87.581097,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
323,JACKSON (ANDREW),19,0019-29,57th Street Beach House Concession,other,CONCESSION,,ACTIVE,1998,1,,CPD,,5,HYDE PARK,41.79179,-87.579772,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
324,JACKSON (ANDREW),19,0019-30,Jackson Driving Range Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,5,WOODLAWN,41.783491,-87.578711,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
325,JEFFERSON (THOMAS) MEML.,94,0094-01,Tool House & Garage,other,MAINTENANCE,,ACTIVE,,,2135,CPD,,45,JEFFERSON PARK,41.968747,-87.764435,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
326,JEFFERSON (THOMAS) MEML.,94,0094-02,Locker Building,pool,POOL BUILDING,,ACTIVE,1976,,2800,CPD,,45,JEFFERSON PARK,41.968848,-87.763729,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
327,JEFFERSON (THOMAS) MEML.,94,0094-03,Esdohr House,other,HISTORIC,,ACTIVE,1884,2,670,CPD,4820 N LONG AVE,45,JEFFERSON PARK,41.968329,-87.762759,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
328,JEFFERSON (THOMAS) MEML.,94,0094-04,Jefferson Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1930,1,22181,CPD,4822 N LONG AVE,45,JEFFERSON PARK,41.968611,-87.762831,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
329,KELVYN (WILLIAM),126,0126-01,Kelvyn Park Fieldhouse,field_house,FIELDHOUSE A4,A4,ACTIVE,1928,3,19711,CPD,4438 W WRIGHTWOOD AVE,31,HERMOSA,41.929041,-87.738151,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
330,KENNEDY (DENNIS),48,0048-01,Kennedy Memorial Park Restrooms,other,COMFORT STATION,,ACTIVE,,1,,CPD,11320 S WESTERN AVE,19,MORGAN PARK,41.686946,-87.682546,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
331,KENNEDY (DENNIS),48,0048-02,Kennedy Park Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,,1,,CPD,11320 S WESTERN AVE,19,MORGAN PARK,41.687163,-87.681754,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
332,KENNEDY (DENNIS),48,0048-03,,other,UNIDENTIFIED,,ACTIVE,,,,,,19,MORGAN PARK,41.687409,-87.684236,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
333,KENNICOTT (JONATHAN),485,0485-01,Kennicott Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1956,2,40700,CPD,4434 S LAKE PARK AVE,4,KENWOOD,41.814429,-87.59764,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
334,KENSINGTON,1041,1041-01,Kensington Park Fieldhouse,field_house,INACTIVE: FIELDHOUSE D2,D2,INACTIVE,1948,1,,CPD,315 E 118TH ST,9,WEST PULLMAN,41.679695,-87.615985,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
