objectid,park,park_no,bldg_id,bldg_name,category,bldg_type,field_house_class,status,year_built,stories,building_sqft,owner,address,ward,community,lat,lon,provenance,source
165,COLUMBUS (CHRISTOPHER),209,0209-06,Starter Building,other,GOLF BUILDING,,ACTIVE,1962,1,,CPD,,29,AUSTIN,41.876417,-87.769578,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
166,COLUMBUS (CHRISTOPHER),209,0209-07,Shelter House,other,SHELTER,,ACTIVE,,1,,CPD,,29,AUSTIN,41.875623,-87.765025,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
167,COLUMBUS (CHRISTOPHER),209,0209-08,Arcade,other,OTHER,,ACTIVE,,1,,CPD,500 S CENTRAL AVE,29,AUSTIN,41.874038,-87.765759,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
168,COLUMBUS (CHRISTOPHER),209,0209-09,,other,COMFORT STATION,,ACTIVE,,,,CPD,,29,AUSTIN,41.874822,-87.769536,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
169,COLUMBUS (CHRISTOPHER),209,0209-10,Columbus Park Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1918,3,29898,CPD,500 S CENTRAL AVE,29,AUSTIN,41.874077,-87.76524,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
170,COMMERCIAL CLUB PGD. OF CHICAGO,1006,1006-01,Commercial Club Fieldhouse,field_house,FIELDHOUSE B,B,ACTIVE,1938,1,7810,CPD,1845 W RICE ST,1,WEST TOWN,41.896649,-87.674169,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
171,COOPER (JACK),287,0287-01,Cooper Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,2006,1,,CPD,1332 W 117TH ST,34,WEST PULLMAN,41.681064,-87.655397,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
172,CORNELL (PAUL) SQUARE,5,0005-01,Cornell Square Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1905,1,42135,CPD,5000 S WOOD ST,20,NEW CITY,41.802582,-87.670117,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
173,CRAGIN,131,0131-01,Cragin Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1961,1,1395,CPD,2611 N LOCKWOOD AVE,31,BELMONT CRAGIN,41.928122,-87.758498,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
174,DAVIS (NATHAN) SQUARE,14,0014-01,Locker Building,pool,POOL BUILDING,,ACTIVE,1905,1,6270,CPD,4430 S MARSHFIELD AVE,15,NEW CITY,41.813157,-87.666503,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
175,DAVIS (NATHAN) SQUARE,14,0014-02,Filter House,pool,POOL BUILDING,,ACTIVE,1952,1,600,CPD,,15,NEW CITY,41.812931,-87.666885,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
176,DAVIS (NATHAN) SQUARE,14,0014-03,Davis Square Fieldhouse,field_house,FIELDHOUSE A3,A3,ACTIVE,1905,2,23500,CPD,1653 W 44TH ST,15,NEW CITY,41.813163,-87.667216,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
177,DAWES (CHARLES),239,0239-01,Dawes Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1961,1,1395,CPD,8040 S DAMEN AVE,18,AUBURN GRESHAM,41.746911,-87.674016,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
178,DONOVAN (GEORGE),1029,1029-01,Donovan Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1956,1,,CPD,3620 S LITUANICA AVE,11,BRIDGEPORT,41.828138,-87.647899,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
179,DOUGLASS (ANNA & FREDERICK),218,0218-01,Farrar & 18th Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,1401 S SACRAMENTO AVE,12,NORTH LAWNDALE,41.857995,-87.696543,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
180,DOUGLASS (ANNA & FREDERICK),218,0218-02,Pergola,other,HISTORIC,,ACTIVE,,1,,CPD,1613 S SACRAMENTO DR,12,NORTH LAWNDALE,41.858889,-87.70071,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
181,DOUGLASS (ANNA & FREDERICK),218,0218-04,Landscape Service Building,other,MAINTENANCE,,ACTIVE,,,,CPD,,12,NORTH LAWNDALE,41.858627,-87.700126,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
182,DOUGLASS (ANNA & FREDERICK),218,0218-05,Douglass Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1927,2,,CPD,1401 S SACRAMENTO DR,24,NORTH LAWNDALE,41.862396,-87.699689,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
