objectid,park,cpd_bldg_name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
77,AUBURN,Comfort Station,largest_nearby,41.752468,-87.636225,141.2,114.7,608768,462-474 W WINNECONNA PKWY,,3,6426.6,40,sourced,socrata_syp8-uezg@2026-09-14
78,DOUGLASS (ANNA & FREDERICK),West Pergola,largest_nearby,41.855077,-87.697926,160.1,84.8,382002,2875 W 19TH ST,SAINT ANTHONY HOSPITAL,8,56397.9,15,sourced,socrata_syp8-uezg@2026-09-14
79,DOUGLASS (ANNA & FREDERICK),East Pergola,largest_nearby,41.855077,-87.697926,113.3,45.1,382002,2875 W 19TH ST,SAINT ANTHONY HOSPITAL,8,56397.9,4,sourced,socrata_syp8-uezg@2026-09-14
80,LINCOLN (ABRAHAM),Concession,largest_nearby,41.963062,-87.638132,85.7,77.3,120816,,,0,6134.8,2,sourced,socrata_syp8-uezg@2026-09-14
81,PARK NO. 576,,containing,41.648201,-87.567349,1.5,0,841871,,,0,483.1,1,sourced,socrata_syp8-uezg@2026-09-14
82,LINCOLN (ABRAHAM),North Parking Lot Building,containing,41.91469,-87.632658,0.8,0,835550,,,0,497.8,13,sourced,socrata_syp8-uezg@2026-09-14
83,LINCOLN (ABRAHAM),South Parking Lot Building,largest_nearby,41.913775,-87.633835,98.9,78.9,295018,1730 N CLARK ST,EUGENIE TERRACE ON THE PARK,44,13639.5,14,sourced,socrata_syp8-uezg@2026-09-14
84,JACKSON (ANDREW),CTA Turnaround Building,largest_nearby,41.772924,-87.567161,112.4,62.5,553316,6700-6726 S SOUTH SHORE DR,QUADRANGLE HOUSE,27,36158.5,24,sourced,socrata_syp8-uezg@2026-09-14
85,LA VILLITA,Comfort Station,largest_nearby,41.841201,-87.702873,101.5,72.9,400938,3110 W 28TH ST,,2,35640.1,52,sourced,socrata_syp8-uezg@2026-09-14
86,LA VILLITA,Concession,largest_nearby,41.841201,-87.702873,89.2,59.9,400938,3110 W 28TH ST,,2,35640.1,52,sourced,socrata_syp8-uezg@2026-09-14
87,SOUTH LAKEVIEW,Gazebo,largest_nearby,41.934093,-87.66035,101.9,78.7,232515,2847-2871 N LINCOLN AVE,,3,29327,185,sourced,socrata_syp8-uezg@2026-09-14
88,BURNHAM (DANIEL),31st St Harbor Building,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
89,ADDAMS (JANE) MEML.,Frutalia Italian Ice,largest_nearby,41.891521,-87.613101,126.1,35.2,815730,,LAKE POINT TOWER,0,96641.1,3,sourced,socrata_syp8-uezg@2026-09-14
90,ABBOTT (ROBERT),Bath House,address_exact,41.721158,-87.622113,0.7,0,700580,49 E 95TH ST,,0,4537.9,43,sourced,socrata_syp8-uezg@2026-09-14
91,ABBOTT (ROBERT),Abbott Park Satellite Senior Center,containing,41.721072,-87.621787,0.7,0,826370,,,0,8202.3,39,sourced,socrata_syp8-uezg@2026-09-14
92,ABBOTT (ROBERT),Abbott Park Fieldhouse,address_exact,41.7215,-87.62219,0.6,0,700157,31 E 95TH ST,,0,2079.5,52,sourced,socrata_syp8-uezg@2026-09-14
93,ADA (SAWYER GARRETT),Ada Park Fieldhouse,address_exact,41.688164,-87.655982,6.4,0,775605,11250 S ADA ST,,0,23150.5,104,sourced,socrata_syp8-uezg@2026-09-14
94,ADAMS (GEORGE & ADELE),Pump Station,containing,41.917121,-87.654991,1.3,0,287350,,,0,314.4,161,sourced,socrata_syp8-uezg@2026-09-14
95,ADAMS (GEORGE & ADELE),Adams Park Fieldhouse,address_exact,41.916481,-87.655077,4.5,0,288593,1910 N KENMORE AVE,,1,3655,173,sourced,socrata_syp8-uezg@2026-09-14
96,ALTGELD (JOHN),Bath House,address_exact,41.874022,-87.693079,0.9,0,365323,531 N WASHTENAW AVE,,0,1357,35,sourced,socrata_syp8-uezg@2026-09-14
97,ALTGELD (JOHN),,containing,41.87473,-87.693115,0.3,0,364641,,,0,261.8,27,sourced,socrata_syp8-uezg@2026-09-14
98,ALTGELD (JOHN),Filter Building,containing,41.874127,-87.693534,0.2,0,365267,,,0,644.2,38,sourced,socrata_syp8-uezg@2026-09-14
99,ALTGELD (JOHN),Altgeld Park Fieldhouse,address_exact,41.874364,-87.693297,2.3,0,364869,515 S WASHTENAW AVE,,0,7563.2,35,sourced,socrata_syp8-uezg@2026-09-14
100,AMUNDSEN (ROALD),Storage Shed,containing,41.913818,-87.779705,0.3,0,296787,,,0,216,45,sourced,socrata_syp8-uezg@2026-09-14
101,AMUNDSEN (ROALD),Amundsen Park Fieldhouse,address_exact,41.91333,-87.780237,3.2,0,297619,6200 W BLOOMINGDALE AVE,,1,18197.1,107,sourced,socrata_syp8-uezg@2026-09-14
102,ANDERSON (LOUIS),Recreation Building,address_exact,41.826281,-87.620865,1.2,0,422548,3734 S PRAIRIE AVE,,0,4738.5,24,sourced,socrata_syp8-uezg@2026-09-14
103,ARCHER (WILLIAM BEATTY),Archer Park Fieldhouse,address_exact,41.80348,-87.735064,6.3,0,456814,4901 S KILBOURN AVE,,1,16443.1,36,sourced,socrata_syp8-uezg@2026-09-14
104,ARMOUR (PHILIP) SQUARE,Armour Square Fieldhouse,address_exact,41.834216,-87.634771,3.6,0,412954,3309 S SHIELDS AVE,,2,33529.6,51,sourced,socrata_syp8-uezg@2026-09-14
105,ARMSTRONG (LILLIAN HARDIN),North Shelter,address_exact,41.814126,-87.6096,3.8,0,434660,4401 S ST LAWRENCE AVE,,0,986.5,20,sourced,socrata_syp8-uezg@2026-09-14
106,ARMSTRONG (LILLIAN HARDIN),South Shelter,address_exact,41.813976,-87.609595,3.5,0,434902,4419 S ST LAWRENCE AVE,,0,956.2,20,sourced,socrata_syp8-uezg@2026-09-14
107,ATHLETIC FIELD,Athletic Field Park Fieldhouse,address_exact,41.94725,-87.717131,10.1,0,178971,3623 N CENTRAL PARK AVE,,0,4388.4,117,sourced,socrata_syp8-uezg@2026-09-14
108,ATHLETIC FIELD,Ceramics Building,address_exact,41.94672,-87.717007,0.7,0,181050,3546 W ADDISON ST,,0,2426.1,85,sourced,socrata_syp8-uezg@2026-09-14
109,ATHLETIC FIELD,Shelter,containing,41.947025,-87.717017,1.9,0,179947,,,0,395.2,106,sourced,socrata_syp8-uezg@2026-09-14
110,AUGUSTA (CARPENTER),Augusta Park Fieldhouse,address_exact,41.898549,-87.737342,0.7,0,334179,4431 W AUGUSTA BLVD,,1,1278.9,164,sourced,socrata_syp8-uezg@2026-09-14
111,AUSTIN (HENRY),Bath House,address_exact,41.887715,-87.774117,1.3,0,352333,5951 W LAKE ST,,1,1738.8,32,sourced,socrata_syp8-uezg@2026-09-14
112,AUSTIN TOWN HALL,Austin Library,address_exact,41.889019,-87.765817,2.4,0,351473,5609-5615 W RACE AVE,AUSTIN,0,11071.9,36,sourced,socrata_syp8-uezg@2026-09-14
113,AUSTIN TOWN HALL,Austin Town Hall,address_exact,41.888312,-87.7658,0.2,0,351825,5610 W LAKE ST,AUSTIN TOWN HALL,0,21312.5,32,sourced,socrata_syp8-uezg@2026-09-14
114,AVALON,Bath House,containing,41.742816,-87.593878,0.9,0,644445,,AVALON PARK,0,1293.6,66,sourced,socrata_syp8-uezg@2026-09-14
115,AVALON,Avalon Park Fieldhouse,address_exact,41.743629,-87.594185,2.9,0,640789,1215 E 83RD ST,AVALON PARK,1,18120.2,96,sourced,socrata_syp8-uezg@2026-09-14
116,AVALON,Shelter,containing,41.74274,-87.594801,0.9,0,644877,,AVALON PARK,0,556,48,sourced,socrata_syp8-uezg@2026-09-14
117,AVALON,Filter Building,containing,41.742642,-87.594322,1,0,645352,,AVALON PARK,0,483.8,57,sourced,socrata_syp8-uezg@2026-09-14
118,AVONDALE,Avondale Park Fieldhouse,address_exact,41.941283,-87.715207,5.5,0,203369,3516 W SCHOOL ST,AVONDALE PARK,2,12183.2,192,sourced,socrata_syp8-uezg@2026-09-14
119,BEEHIVE,Shelter,address_exact,41.782501,-87.591572,0.2,0,521419,6158 S DORCHESTER AVE,,0,180.8,53,sourced,socrata_syp8-uezg@2026-09-14
120,"BELL (GEORGE,JR.)",Bell Park Fieldhouse,address_exact,41.935415,-87.796343,5.7,0,230463,3005 N NEWCASTLE AVE,,1,3250.1,180,sourced,socrata_syp8-uezg@2026-09-14
121,BERGER (ALBERT),North Lakeside Cultural Center,address_exact,41.994858,-87.655159,2,0,30931,6205 N SHERIDAN RD,,0,4182.5,20,sourced,socrata_syp8-uezg@2026-09-14
122,BERGER (ALBERT),North Coach House,containing,41.995288,-87.654818,0.5,0,30115,,,0,726.8,20,sourced,socrata_syp8-uezg@2026-09-14
123,BERGER (ALBERT),South Coach House,address_exact,41.995039,-87.654821,1.1,0,30545,6205 N SHERIDAN RD,,0,1870.8,20,sourced,socrata_syp8-uezg@2026-09-14
124,BERGER (ALBERT),Cultural Center Annex,address_exact,41.995235,-87.655095,3.4,0,30175,6219 N SHERIDAN RD,,3,2299,20,sourced,socrata_syp8-uezg@2026-09-14
125,BESSEMER (HENRY),Bessemer Park Fieldhouse,address_exact,41.733077,-87.556704,26.5,0,674624,8930 S MUSKEGON AVE,,2,21001.4,47,sourced,socrata_syp8-uezg@2026-09-14
126,BESSEMER (HENRY),Boiler Building,containing,41.733458,-87.556511,1.9,0,673914,,,0,1641.2,41,sourced,socrata_syp8-uezg@2026-09-14
127,BOGAN (WILLIAM),Bogan Park Fieldhouse,address_exact,41.745742,-87.720457,2,0,635830,8101 S PULASKI RD,,1,2198.1,85,sourced,socrata_syp8-uezg@2026-09-14
128,BOSLEY (WILLIAM),Bosley Park Fieldhouse,address_exact,41.839245,-87.653761,1.5,0,405393,3044 S BONFIELD ST,,1,1801.5,198,sourced,socrata_syp8-uezg@2026-09-14
129,BRAINERD,Brainerd Park Fieldhouse,address_exact,41.727097,-87.654906,9.3,0,689162,1246 W 92ND ST,,0,15352.1,122,sourced,socrata_syp8-uezg@2026-09-14
130,BRANDS,Brands Park Fieldhouse,address_exact,41.941351,-87.70024,14.1,0,202585,3285 N ELSTON AVE,,0,13342.5,144,sourced,socrata_syp8-uezg@2026-09-14
131,BROADWAY ARMORY,Broadway Armory,address_exact,41.989019,-87.659632,23.4,0,43477,5917 N BROADWAY,,2,74711.1,50,sourced,socrata_syp8-uezg@2026-09-14
132,BROOKS (OSCAR),Brooks Park Fieldhouse,address_exact,42.009876,-87.807274,2,0,10368,7100 N HARLEM AVE,,2,10458.1,79,sourced,socrata_syp8-uezg@2026-09-14
133,BURNHAM (DANIEL),43rd Street Comfort Station,containing,41.817064,-87.594023,0.9,0,430931,,,0,819.8,2,sourced,socrata_syp8-uezg@2026-09-14
134,BURNHAM (DANIEL),Promontory Point Refectory,containing,41.79642,-87.576081,4.6,0,473911,,,0,5177.5,1,sourced,socrata_syp8-uezg@2026-09-14
135,BURNHAM (DANIEL),31st Street Beach House,containing,41.83857,-87.606804,0.9,0,406290,,,0,1369,2,sourced,socrata_syp8-uezg@2026-09-14
136,BURNHAM (DANIEL),McCormick Place Lakeside Center,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
137,BURNHAM (DANIEL),Soldier Field,address_exact,41.862088,-87.61667,17.3,0,836579,425 E MCFETRIDGE DR,,0,527773.8,1,sourced,socrata_syp8-uezg@2026-09-14
138,BURNHAM (DANIEL),SOUTH PARK BOARD,address_exact,41.825246,-87.601709,2.7,0,423250,1000 E OAKWOOD BLVD,SOUTH PARK BOARD,0,3950.2,9,sourced,socrata_syp8-uezg@2026-09-14
139,BURNHAM (DANIEL),CPD Central Shop,address_exact,41.825727,-87.601758,12.2,0,422665,1000 E OAKWOOD BLVD,CPD CENTRAL SHOP,0,33691.2,5,sourced,socrata_syp8-uezg@2026-09-14
140,BURNHAM (DANIEL),Burnham Harbor Building,containing,41.860564,-87.612542,3.1,0,375426,,,0,2683.2,1,sourced,socrata_syp8-uezg@2026-09-14
141,BURNHAM (DANIEL),31st Street Concession,containing,41.838412,-87.606746,0.9,0,406633,,,0,1336.5,2,sourced,socrata_syp8-uezg@2026-09-14
142,BURNHAM (DANIEL),Soldier Field South Parking Lot,containing,41.859353,-87.615629,0.7,0,858873,,,0,261519.1,1,sourced,socrata_syp8-uezg@2026-09-14
143,BURNHAM (DANIEL),41st Street Beach House,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
144,CALIFORNIA,Pool Building,containing,41.952496,-87.696612,1,0,157019,,CALIFORNIA PARK,0,6080.9,8,sourced,socrata_syp8-uezg@2026-09-14
145,CALUMET,,containing,41.709559,-87.5266,0.4,0,724044,,,0,97.5,3,sourced,socrata_syp8-uezg@2026-09-14
146,CALUMET,,containing,41.709455,-87.526742,0.4,0,724051,,,0,4768.1,3,sourced,socrata_syp8-uezg@2026-09-14
147,CALUMET,,address_exact,41.722951,-87.532529,1.1,0,696468,3730 E FOREMAN DR,,0,3467.5,2,sourced,socrata_syp8-uezg@2026-09-14
148,CALUMET,Service Yard,address_exact,41.722978,-87.533161,12.7,0,696487,3730 E FOREMAN DR,,0,7495.5,2,sourced,socrata_syp8-uezg@2026-09-14
149,CALUMET,Calumet Beach House,address_exact,41.713377,-87.527905,4,0,714970,9801 S AVENUE G,,0,10392.8,1,sourced,socrata_syp8-uezg@2026-09-14
150,CALUMET,Power House,containing,41.71833,-87.531449,1.1,0,705017,,CALUMET PARK,0,2984.5,45,sourced,socrata_syp8-uezg@2026-09-14
151,CALUMET,Calumet Patk Fieldhouse,address_exact,41.717836,-87.530572,1,0,706135,9801 S AVENUE G,,2,27094.2,13,sourced,socrata_syp8-uezg@2026-09-14
152,CALUMET,Calumet Park Comfort Station,address_exact,41.720748,-87.526491,1.2,0,700247,9801 S AVENUE G,CALUMET PARK,0,1580.2,1,sourced,socrata_syp8-uezg@2026-09-14
153,CARVER (GEORGE WASHINGTON),Comfort Station,containing,41.65352,-87.597645,0.7,0,808988,,,0,577,18,sourced,socrata_syp8-uezg@2026-09-14
154,CHASE (SALMON),Filter Building,containing,41.968325,-87.66888,0.1,0,105104,,,0,306.2,78,sourced,socrata_syp8-uezg@2026-09-14
155,CHASE (SALMON),Chase Park Fieldhouse,address_exact,41.967791,-87.668909,3.7,0,106119,4725 N ASHLAND AVE,,1,16227.9,77,sourced,socrata_syp8-uezg@2026-09-14
156,CHIPPEWA,Chippewa Park Fieldhouse,address_exact,42.004481,-87.704935,2.6,0,16160,6758 N SACRAMENTO AVE,,1,1935.5,95,sourced,socrata_syp8-uezg@2026-09-14
157,CHOPIN (FREDERIC),Chopin Park Fieldhouse,address_exact,41.943194,-87.762418,1.6,0,196110,3420 N LONG AVE,,2,4279.2,123,sourced,socrata_syp8-uezg@2026-09-14
158,CLARENDON COMM. CTR.,Clarendon Community Center,address_exact,41.963676,-87.649351,4.5,0,118181,4501 N CLARENDON AVE,,1,27476.8,10,sourced,socrata_syp8-uezg@2026-09-14
159,CLARK (JOHN),Filter Building,containing,41.876129,-87.741481,0.2,0,363463,,,0,55.2,79,sourced,socrata_syp8-uezg@2026-09-14
160,CLARK (JOHN),Toilet Building,containing,41.876182,-87.742048,7.6,0,363323,4644 W GLADYS AVE,,2,1704.8,107,sourced,socrata_syp8-uezg@2026-09-14
161,CLARK (JOHN),Clark Park Fieldhouse,address_exact,41.87673,-87.740973,0.6,0,362863,4615 W JACKSON BLVD,,1,2644.8,72,sourced,socrata_syp8-uezg@2026-09-14
162,COLUMBUS (CHRISTOPHER),Austin Comfort Station,containing,41.872431,-87.77419,0.9,0,367467,,,0,1185.8,1,sourced,socrata_syp8-uezg@2026-09-14
163,COLUMBUS (CHRISTOPHER),,containing,41.874074,-87.768401,1.4,0,365670,,,0,1769.4,3,sourced,socrata_syp8-uezg@2026-09-14
164,COLUMBUS (CHRISTOPHER),Jackson Comfort Station,containing,41.876189,-87.773853,0.4,0,363564,,,0,188.2,1,sourced,socrata_syp8-uezg@2026-09-14
165,COLUMBUS (CHRISTOPHER),Starter Building,containing,41.876412,-87.769578,0.5,0,363296,,,0,521.1,3,sourced,socrata_syp8-uezg@2026-09-14
166,COLUMBUS (CHRISTOPHER),Shelter House,containing,41.875615,-87.765025,0.9,0,364018,,,0,1038.1,69,sourced,socrata_syp8-uezg@2026-09-14
167,COLUMBUS (CHRISTOPHER),Arcade,address_exact,41.873902,-87.76617,37.3,0,365617,500 S CENTRAL AVE,,0,35167.1,20,sourced,socrata_syp8-uezg@2026-09-14
168,COLUMBUS (CHRISTOPHER),,containing,41.874815,-87.769533,0.8,0,364912,,,0,855.2,4,sourced,socrata_syp8-uezg@2026-09-14
169,COLUMBUS (CHRISTOPHER),Columbus Park Fieldhouse,address_exact,41.873902,-87.76617,79.6,0,365617,500 S CENTRAL AVE,,0,35167.1,47,sourced,socrata_syp8-uezg@2026-09-14
170,COMMERCIAL CLUB PGD. OF CHICAGO,Commercial Club Fieldhouse,address_exact,41.896688,-87.67417,4.4,0,338002,1845 W RICE ST,,1,8051,237,sourced,socrata_syp8-uezg@2026-09-14
171,COOPER (JACK),Cooper Park Fieldhouse,address_exact,41.681054,-87.655397,1.1,0,789345,1332 W 117TH ST,,1,2191,204,sourced,socrata_syp8-uezg@2026-09-14
172,CORNELL (PAUL) SQUARE,Cornell Square Fieldhouse,address_exact,41.802519,-87.670308,17.3,0,457446,5000 S WOOD ST,,1,24974.6,129,sourced,socrata_syp8-uezg@2026-09-14
173,CRAGIN,Cragin Park Fieldhouse,address_exact,41.928112,-87.758498,1.1,0,254767,2611 N LOCKWOOD AVE,,1,2233.2,216,sourced,socrata_syp8-uezg@2026-09-14
174,DAVIS (NATHAN) SQUARE,Locker Building,address_exact,41.812861,-87.666516,32.9,0,436465,4430 S MARSHFIELD AVE,,0,7083.1,97,sourced,socrata_syp8-uezg@2026-09-14
175,DAVIS (NATHAN) SQUARE,Filter House,containing,41.81293,-87.666885,0.1,0,437262,,,0,596.6,98,sourced,socrata_syp8-uezg@2026-09-14
176,DAVIS (NATHAN) SQUARE,Davis Square Fieldhouse,address_exact,41.813317,-87.667205,17.1,0,436503,1653 W 44TH ST,,0,16060.9,96,sourced,socrata_syp8-uezg@2026-09-14
177,DAWES (CHARLES),Dawes Park Fieldhouse,address_exact,41.746904,-87.674016,0.7,0,630334,8040 S DAMEN AVE,,1,2263.5,103,sourced,socrata_syp8-uezg@2026-09-14
178,DONOVAN (GEORGE),Donovan Park Fieldhouse,address_exact,41.828131,-87.647899,0.8,0,420491,3620 S LITUANICA AVE,,1,1787.5,114,sourced,socrata_syp8-uezg@2026-09-14
179,DOUGLASS (ANNA & FREDERICK),Farrar & 18th Comfort Station,address_exact,41.857961,-87.696542,3.7,0,378231,1401 S SACRAMENTO AVE,,0,967.5,46,sourced,socrata_syp8-uezg@2026-09-14
180,DOUGLASS (ANNA & FREDERICK),Pergola,address_exact,41.858861,-87.700692,3.4,0,377034,1613 S SACRAMENTO DR,,0,4841,2,sourced,socrata_syp8-uezg@2026-09-14
181,DOUGLASS (ANNA & FREDERICK),Landscape Service Building,containing,41.858621,-87.700122,0.8,0,377484,,,0,673,2,sourced,socrata_syp8-uezg@2026-09-14
182,DOUGLASS (ANNA & FREDERICK),Douglass Park Fieldhouse,address_exact,41.862443,-87.699665,5.6,0,374801,1401 S SACRAMENTO DR,,0,32582.8,1,sourced,socrata_syp8-uezg@2026-09-14
183,DOUGLASS (ANNA & FREDERICK),,address_exact,41.856242,-87.69663,4.7,0,380484,1401 S SACRAMENTO AVE,,0,13780.5,38,sourced,socrata_syp8-uezg@2026-09-14
184,DUNHAM (ROBERT),Dunham Park Fieldhouse,address_exact,41.965881,-87.782435,7.8,0,113704,4630-4640 N MELVINA AVE,,1,15588.5,120,sourced,socrata_syp8-uezg@2026-09-14
185,DUNHAM (ROBERT),Comfort Station,containing,41.965443,-87.783314,0.7,0,115605,,DUNHAM PARK,0,2282.2,109,sourced,socrata_syp8-uezg@2026-09-14
186,DVORAK (ANTON),Dressing Facility,address_exact,41.854091,-87.654384,2.6,0,383754,2039 S MAY ST,,0,1316.2,91,sourced,socrata_syp8-uezg@2026-09-14
187,DVORAK (ANTON),Filter Building,containing,41.853967,-87.653685,1.2,0,383955,,,0,618.2,94,sourced,socrata_syp8-uezg@2026-09-14
188,DVORAK (ANTON),Dvorak Park Fieldhouse,address_exact,41.854981,-87.653944,5,0,382112,1119 W CULLERTON ST,,0,14455.1,182,sourced,socrata_syp8-uezg@2026-09-14
189,ECKHART (BERNARD),Ida Crown Natatorium,address_exact,41.896575,-87.661971,0.6,0,855978,1360-1370 W CHICAGO AVE,,0,11516.5,87,sourced,socrata_syp8-uezg@2026-09-14
190,ECKHART (BERNARD),Eckhart Park Fieldhouse,address_exact,41.896584,-87.661625,17.3,0,855979,1330-1354 W CHICAGO AVE,ECKHART PARK FIELD HOUSE,0,18132.1,84,sourced,socrata_syp8-uezg@2026-09-14
191,WHITE (WILLYE B.),Willye White Park Fieldhouse,containing,42.019654,-87.671478,4.1,0,892614,1607 W HOWARD ST,,2,17536.8,33,sourced,socrata_syp8-uezg@2026-09-14
192,CHICAGO WOMEN'S PARK AND GARDENS,Clarke House Museum,address_exact,41.857066,-87.621873,0.6,0,378896,1827 S INDIANA AVE,HENRY B CLARKE HOUSE,0,2435.4,119,sourced,socrata_syp8-uezg@2026-09-14
193,EMMERSON (LOUIS),Emmerson Park Fieldhouse,containing,41.994737,-87.67636,0.5,0,31645,,EMERSON PARK,0,1744.5,38,sourced,socrata_syp8-uezg@2026-09-14
194,EUCLID,Euclid Park Fieldhouse,address_exact,41.716069,-87.637406,0.7,0,711781,9800 S PARNELL AVE,,1,2320,98,sourced,socrata_syp8-uezg@2026-09-14
195,FERNWOOD,Fernwood Park Fieldhouse,address_exact,41.704276,-87.638554,14.3,0,737756,10436 S WALLACE ST,,1,28615.2,58,sourced,socrata_syp8-uezg@2026-09-14
196,FERNWOOD,Comfort Station,containing,41.704212,-87.640159,0.4,0,738383,,,0,395,97,sourced,socrata_syp8-uezg@2026-09-14
197,FIELD (EUGENE),Field Park Fieldhouse,containing,41.97399,-87.722326,9.2,0,84003,,EUGENE FIELD,0,9528.1,123,sourced,socrata_syp8-uezg@2026-09-14
198,FIELD (EUGENE),Shelter,containing,41.974807,-87.723891,0.6,0,81627,,,0,561.6,88,sourced,socrata_syp8-uezg@2026-09-14
199,FOSCO (PETER),Fosco Park Fieldhouse,address_exact,41.864772,-87.657629,20,0,826880,1312 S RACINE AVE,,0,53633.6,18,sourced,socrata_syp8-uezg@2026-09-14
200,FOSTER (J. FRANK),Foster Park Fieldhouse,containing,41.741698,-87.660178,7.7,0,648279,8300 S LOOMIS BLVD,,1,30448.2,13,sourced,socrata_syp8-uezg@2026-09-14
201,FOSTER (J. FRANK),Southeast Shelter,containing,41.741687,-87.660703,4,0,650132,,,0,843.8,30,sourced,socrata_syp8-uezg@2026-09-14
202,FOSTER (J. FRANK),South Shelter,containing,41.741621,-87.660844,1.6,0,650473,,,0,851.2,32,sourced,socrata_syp8-uezg@2026-09-14
203,FOSTER (J. FRANK),,containing,41.742339,-87.660177,1.8,0,647925,,,0,1565,45,sourced,socrata_syp8-uezg@2026-09-14
204,FOSTER (J. FRANK),Northeast Shelter,largest_nearby,41.741698,-87.660178,47.4,14.9,648279,8300 S LOOMIS BLVD,,1,30448.2,36,sourced,socrata_syp8-uezg@2026-09-14
205,CHICAGO WOMEN'S PARK AND GARDENS,Chicago Women's Fieldhouse,address_exact,41.857716,-87.622022,4.4,0,377984,1801-1811 S INDIANA AVE,NATIONAL VIETNAM VETERANS ART MUSEUM,3,9317,126,sourced,socrata_syp8-uezg@2026-09-14
206,FRANKLIN (BENJAMIN),Pool Equipment Room,address_exact,41.861589,-87.733283,0.8,0,375248,1409 S KOLIN AVE,,0,1351.1,74,sourced,socrata_syp8-uezg@2026-09-14
207,FRANKLIN (BENJAMIN),Franklin Park Fieldhouse,address_exact,41.861189,-87.73304,1.8,0,375410,1449 S KOLIN AVE,,0,17631.9,77,sourced,socrata_syp8-uezg@2026-09-14
208,FULLER (MELVILLE),Fuller Park Fieldhouse,address_exact,41.811756,-87.634579,50.7,0,437983,331 W 45TH ST,,0,38071.2,59,sourced,socrata_syp8-uezg@2026-09-14
209,FULLER (MELVILLE),Fuller Park Bath House,address_exact,41.811137,-87.635405,1.1,0,440042,4500 S PRINCETON AVE,FULLER PARK (BATHHOUSE),0,9007,19,sourced,socrata_syp8-uezg@2026-09-14
210,FULLER (MELVILLE),Fuller Park Power House,address_exact,41.812477,-87.63566,5.5,0,437689,4500 S PRINCETON AVE,FULLER PARK (HEATING PLANT),0,1967.6,46,sourced,socrata_syp8-uezg@2026-09-14
211,GAGE (GEORGE),Boiler House,containing,41.792416,-87.684944,0.8,0,489921,,,0,3348.5,66,sourced,socrata_syp8-uezg@2026-09-14
212,GAGE (GEORGE),Gage Park Fieldhouse,address_exact,41.793555,-87.684974,2.1,0,485829,2411-2415 W 55TH ST,,1,30053.1,16,sourced,socrata_syp8-uezg@2026-09-14
213,GAGE (GEORGE),Locker Building,largest_nearby,41.793555,-87.684974,44.2,15.9,485829,2411-2415 W 55TH ST,,1,30053.1,26,sourced,socrata_syp8-uezg@2026-09-14
214,GALEWOOD,Lakewood Park Recreation Building,address_exact,41.912398,-87.768984,4.1,0,300675,5737 W BLOOMINGDALE AVE,,0,1885.8,125,sourced,socrata_syp8-uezg@2026-09-14
215,GALEWOOD,South Shelter,containing,41.912352,-87.768685,4,0,301089,,,0,460.2,129,sourced,socrata_syp8-uezg@2026-09-14
216,GALEWOOD,North Shelter,address_exact,41.912504,-87.768737,0.1,0,300620,5729 W BLOOMINGDALE AVE,,0,448.5,126,sourced,socrata_syp8-uezg@2026-09-14
217,GARFIELD (JAMES),Garfield Market,containing,41.88792,-87.718581,19.3,0,352086,100 N CENTRAL PARK DR,,0,17530.5,45,sourced,socrata_syp8-uezg@2026-09-14
218,GARFIELD (JAMES),Garfield Trades Yard,containing,41.887669,-87.719288,10.1,0,856498,,,0,14625.4,56,sourced,socrata_syp8-uezg@2026-09-14
219,GARFIELD (JAMES),Garfield Park Bandstand,containing,41.879538,-87.718675,1,0,359048,100 N CENTRAL PARK DR,,0,1444.6,2,sourced,socrata_syp8-uezg@2026-09-14
220,GARFIELD (JAMES),Golden Dome Fieldhouse,address_exact,41.882681,-87.715981,11.6,0,356066,100 N CENTRAL PARK DR,,0,45107.9,2,sourced,socrata_syp8-uezg@2026-09-14
221,GARFIELD (JAMES),Hamlin Comfort Station,address_exact,41.878756,-87.720079,1.5,0,360014,100 N CENTRAL PARK DR,,0,5181.2,26,sourced,socrata_syp8-uezg@2026-09-14
222,GARFIELD (JAMES),Garfield Park Conservatory,address_exact,41.886261,-87.717595,29.7,0,352249,300 N CENTRAL PARK DR,GARFIELD PARK CONSERVATORY,0,155617.4,5,sourced,socrata_syp8-uezg@2026-09-14
223,GARFIELD (JAMES),Schraeder Comfort Station,address_exact,41.883835,-87.714077,0.9,0,355250,100 N CENTRAL PARK DR,,0,840.2,8,sourced,socrata_syp8-uezg@2026-09-14
224,GARFIELD (JAMES),Garfield Park Power House,containing,41.887701,-87.719973,19.9,0,352235,100 N CENTRAL PARK DR,,0,14864,63,sourced,socrata_syp8-uezg@2026-09-14
225,GATELY (JAMES),West Bleachers,address_exact,41.708528,-87.603169,4.7,0,726936,810 E 103RD ST,Gately Park,0,15640,6,sourced,socrata_syp8-uezg@2026-09-14
226,GATELY (JAMES),South Locker Building,address_exact,41.708059,-87.603178,1.1,0,728606,810 E 103RD ST,GATELY PARK,0,3041.8,10,sourced,socrata_syp8-uezg@2026-09-14
