objectid,park,cpd_bldg_name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
716,ARCHER (WILLIAM BEATTY),,largest_nearby,41.803024,-87.736289,129,92,457686,4940 S KILBOURN AVE,,1,30423.2,27,sourced,socrata_syp8-uezg@2026-09-14
717,PRAIRIE WOLF,Shelter,largest_nearby,41.780188,-87.602275,64.2,23.8,529176,915 E 63RD ST,,0,31211,54,sourced,socrata_syp8-uezg@2026-09-14
718,NORTH PARK VILLAGE NATURE CENTER,Gymnastics Building,address_exact,41.986168,-87.726785,2.9,0,51415,5801 N PULASKI RD,NORTH PARK VILLAGE - AUDITORIUM,0,9532.2,5,sourced,socrata_syp8-uezg@2026-09-14
719,NORTHERLY ISLAND,Bike Chicago Kiosk,largest_nearby,41.866365,-87.606555,98.1,56.8,371584,1300 S LAKE SHORE DR,ADLER PLANETARIUM,1,54467,2,sourced,socrata_syp8-uezg@2026-09-14
720,GRANT (ULYSSES),Kiosk,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
721,LINCOLN (ABRAHAM),Kiosk,largest_nearby,41.927092,-87.630656,101.2,60.9,254878,,LINCOLN PARK,0,26516,1,sourced,socrata_syp8-uezg@2026-09-14
722,LINCOLN (ABRAHAM),Lincoln Park Boathouse,largest_nearby,41.922849,-87.633966,183.4,139.1,266326,,LINCOLN PARK,0,44357.1,5,sourced,socrata_syp8-uezg@2026-09-14
723,WARREN (LAURENCE),Pratt & Western Shelter,largest_nearby,42.005304,-87.690459,108.2,84.6,841655,6800-6810 N WESTERN AVE,,1,13986.8,39,sourced,socrata_syp8-uezg@2026-09-14
724,LINCOLN (ABRAHAM),Chicago Yacht Club Floating Clubhouse,largest_nearby,41.939564,-87.636538,139.4,133.4,848732,,,0,1051.1,1,sourced,socrata_syp8-uezg@2026-09-14
725,WELLES (GIDEON),Crepes in the Park,largest_nearby,41.962774,-87.686463,62.7,6.5,122305,2333 W SUNNYSIDE AVE,,1,28324,62,sourced,socrata_syp8-uezg@2026-09-14
726,KILBOURN,Landscape Building,containing,41.9447,-87.738604,27.5,0,188891,3501 N KILBOURN AVE,KILBOURN PARK,0,19068,76,sourced,socrata_syp8-uezg@2026-09-14
727,LA FOLLETTE (ROBERT),Filter Building,largest_nearby,41.903388,-87.750702,138.2,115.7,322706,1235-1245 N LAVERGNE AVE,,0,3649.9,131,sourced,socrata_syp8-uezg@2026-09-14
728,HALE (NATHAN),,largest_nearby,41.780184,-87.776976,181.8,148.8,530544,6140 S MELVINA AVE,,0,35148.1,53,sourced,socrata_syp8-uezg@2026-09-14
729,HARRISON (CARTER),,largest_nearby,41.85678,-87.672219,104.2,83.6,379324,1824 S WOOD ST,,0,38285.9,55,sourced,socrata_syp8-uezg@2026-09-14
730,MARQUETTE (JACQUES),Driving Range,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
731,MARQUETTE (JACQUES),Driving Range,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
732,MARQUETTE (JACQUES),,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
733,PARK NO. 577,Morgan Park Sports Center,largest_nearby,41.683311,-87.681273,86.8,61,785580,11532 S WESTERN AVE,,0,13081.1,78,sourced,socrata_syp8-uezg@2026-09-14
734,PETERSON (PEHR SAMUEL),Gate House,containing,41.990084,-87.719127,1.6,0,43322,,,0,397.8,105,sourced,socrata_syp8-uezg@2026-09-14
