name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
Little Village,address_exact,41.849621,-87.704832,17.7,1.4,892275,2301-2315 S KEDZIE AVE,LITTLE VILLAGE LIBRARY,1,17720.1,159,sourced,socrata_syp8-uezg@2026-09-13
Logan Square,address_exact,41.925077,-87.703695,28.2,10.7,263607,3030-3036 W FULLERTON AVE,LOGAN SQUARE BRANCH,1,13326.1,138,sourced,socrata_syp8-uezg@2026-09-13
Lozano,address_exact,41.857537,-87.660934,20.4,0.7,378294,1803-1805 S LOOMIS ST,RUDY LOZANO,0,21239.1,152,sourced,socrata_syp8-uezg@2026-09-13
Manning,address_exact,41.881022,-87.679562,28.1,6.7,357731,6 S HOYNE AVE,MABEL MANNING,0,13133.5,51,sourced,socrata_syp8-uezg@2026-09-13
Mayfair,address_exact,41.968342,-87.73819,21.4,5,844635,4400-4406 W LAWRENCE AVE,,1,10383.4,136,sourced,socrata_syp8-uezg@2026-09-13
McKinley Park,address_exact,41.830163,-87.673586,17.2,2.4,418266,1915-1925 W 35TH ST,MCKINLEY PARK,1,12714,204,sourced,socrata_syp8-uezg@2026-09-13
Merlo,address_exact,41.940278,-87.646211,22.2,7.5,205930,642-644 W BELMONT AVE,JOHN MERLO,2,6061.8,119,sourced,socrata_syp8-uezg@2026-09-13
Mount Greenwood,address_exact,41.693036,-87.701198,14.6,0.6,767477,11000-11014 S KEDZIE AVE,MOUNT GREENWOOD,0,13010.9,157,sourced,socrata_syp8-uezg@2026-09-13
Near North,address_exact,41.904131,-87.636574,22.4,4.5,320193,310 W DIVISION ST,NEAR NORTH BRANCH,1,13555.5,51,sourced,socrata_syp8-uezg@2026-09-13
North Austin,address_exact,41.909607,-87.768896,19.4,4.1,851543,5724 W NORTH AVE,,1,4378.6,191,sourced,socrata_syp8-uezg@2026-09-13
