sid,school_year,grade_category,enrollment_profile,enrollment_20th_day,enrollment_utilization,homerooms,ideal_capacity,adj_ideal_capacity,su_pct,cps_status,classrooms_supply,classrooms_modular,classrooms_leased,classrooms_demand,source
610287,SY2026,ES,307,326,258,16,0,448,0.58,Underutilized,0,0,30,21,cps_space_utilization_sy2026@2026-09-09
610290,SY2026,ES,215,254,242,23,784,644,0.38,Underutilized,37,0,0,31,cps_space_utilization_sy2026@2026-09-09
610291,SY2026,ES,508,536,536,23,448,644,0.83,Efficient,22,12,0,31,cps_space_utilization_sy2026@2026-09-09
610293,SY2026,ES,323,331,280,26,924,728,0.38,Underutilized,44,0,0,35,cps_space_utilization_sy2026@2026-09-09
610295,SY2026,ES,264,265,241,14,476,392,0.61,Underutilized,23,0,0,19,cps_space_utilization_sy2026@2026-09-09
610298,SY2026,ES,288,300,260,12,364,336,0.77,Efficient,18,0,0,16,cps_space_utilization_sy2026@2026-09-09
610299,SY2026,ES,210,231,219,23,756,644,0.34,Underutilized,36,0,0,30,cps_space_utilization_sy2026@2026-09-09
610300,SY2026,ES,323,359,295,17,588,476,0.62,Underutilized,28.5,0,0,23,cps_space_utilization_sy2026@2026-09-09
610304,SY2026,HS,348,359,359,35.2,1176,1056,0.34,Underutilized,49,0,0,44,cps_space_utilization_sy2026@2026-09-09
610305,SY2026,ES,445,441,387,22,924,616,0.63,Underutilized,43,0,0,29,cps_space_utilization_sy2026@2026-09-09
610312,SY2026,ES,102,100,86,6,168,168,0.51,Underutilized,8,2,0,8,cps_space_utilization_sy2026@2026-09-09
610313,SY2026,ES,342,383,286,36,1260,1008,0.28,Underutilized,59,0,0,47,cps_space_utilization_sy2026@2026-09-09
610315,SY2026,ES,122,120,107,5,168,140,0.76,Efficient,9,0,0,7,cps_space_utilization_sy2026@2026-09-09
610316,SY2026,ES,197,206,206,10,280,280,0.74,Efficient,13.5,0,0,13,cps_space_utilization_sy2026@2026-09-09
610317,SY2026,ES,295,304,289,16,588,448,0.65,Underutilized,27.5,0,0,21,cps_space_utilization_sy2026@2026-09-09
610319,SY2026,ES,166,176,176,15,420,420,0.42,Underutilized,20,0,0,20,cps_space_utilization_sy2026@2026-09-09
610323,SY2026,HS,240,256,236,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
610325,SY2026,ES,402,440,422,30,1120,840,0.5,Underutilized,52,0,0,39,cps_space_utilization_sy2026@2026-09-09
610329,SY2026,ES,281,284,246,20,700,560,0.44,Underutilized,32.5,0,0,26,cps_space_utilization_sy2026@2026-09-09
610334,SY2026,HS,63,78,46,22.4,996,672,0.07,Underutilized,41.5,0,0,28,cps_space_utilization_sy2026@2026-09-09
610339,SY2026,ES,365,396,337,21,756,588,0.57,Underutilized,36,0,0,28,cps_space_utilization_sy2026@2026-09-09
610340,SY2026,HS,555,562,562,21.6,240,648,0.87,Efficient,10,0,21.5,27,cps_space_utilization_sy2026@2026-09-09
610342,SY2026,ES,317,321,284,18,644,504,0.56,Underutilized,30,0,0,24,cps_space_utilization_sy2026@2026-09-09
610345,SY2026,ES,300,308,251,21,868,588,0.43,Underutilized,41,0,0,28,cps_space_utilization_sy2026@2026-09-09
610347,SY2026,ES,287,277,210,20,728,560,0.38,Underutilized,35,0,0,27,cps_space_utilization_sy2026@2026-09-09
610350,SY2026,ES,393,386,386,8,392,224,1.72,Overcrowded,18.5,0,0,11,cps_space_utilization_sy2026@2026-09-09
610352,SY2026,ES,672,687,578,23,644,644,0.9,Efficient,31,4,0,30,cps_space_utilization_sy2026@2026-09-09
610353,SY2026,ES,555,578,531,26,756,728,0.73,Efficient,36,0,0,34,cps_space_utilization_sy2026@2026-09-09
610354,SY2026,ES,316,330,273,11,756,308,0.89,Efficient,35.5,0,0,15,cps_space_utilization_sy2026@2026-09-09
610355,SY2026,ES,254,256,173,21,868,588,0.29,Underutilized,40.5,0,0,28,cps_space_utilization_sy2026@2026-09-09
610357,SY2026,HS,37,72,72,5.6,180,168,0.43,Underutilized,7.5,0,0,7,cps_space_utilization_sy2026@2026-09-09
