source_key,requested_url,final_url,accessed,content_type,bytes,sha256,note
msq_prim,https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,2026-09-12,text/html; charset=utf-8,41048,2ce9351f2445fa9d8995fa9f62abc226e1ced0744d875d1cdc9039621ac19991,
msq_sbhc,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,2026-09-12,text/html; charset=utf-8,33862,5ecb37975c62c933c37add0d1896201a8bb6dc321021201660915f878f160a60,
nnh_loc,https://nearnorthhealth.org/locations/,https://nearnorthhealth.org/locations/,2026-09-12,text/html; charset=UTF-8,226004,03c68780fce68b9ae158e08ec1b5be06e5231a78ef7a2b81773af0e3b87fa51c,
nnh_reavis_archive,https://www.boardportal.nearnorthhealth.org/reavis-school-based-health-center-,https://web.archive.org/web/20250806131541id_/https://www.boardportal.nearnorthhealth.org/reavis-school-based-health-center-,2026-09-12,text/html,628917,fb3a6990f4185f5669b4c76986f52eb6407c09f6d25201f0dba4b510aea14fe8,The live URL failed on the access date; captured from the Internet Archive's copy at final_url.
rush_sbhc,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,https://www.rush.edu/about-us/rush-community/office-community-health-equity-and-engagement/community-based-practices,2026-09-12,text/html; charset=UTF-8,111235,a2b842cea132367ac6ecd12ec2860f3f3272c243b32acc88d134f49043d76cb0,
tap_loc,https://tap360health.org/location/,https://tap360health.org/location/,2026-09-12,text/html; charset=UTF-8,297444,44f862f857b460ba2ca198259574d64b6c53f245e1060817f72eab830253f5e6,
tap_rename,https://tap360health.org/new-name-same-quality-care/,https://tap360health.org/new-name-same-quality-care/,2026-09-12,text/html; charset=UTF-8,242791,34d8eb9a5c3c1d00e1d8d4ae01ef8923c30bf8aea8777daf178cfbfb1a05d5ce,
tap_senn,https://tap360health.org/location/tapestry-senn-high-school/,https://tap360health.org/location/tapestry-senn-high-school/,2026-09-12,text/html; charset=UTF-8,324785,28fdd91c1e4a16d18695685d6ccdf4a0a9fc7572ce474f6ece5b420d19fb32a3,
tap_student,https://tap360health.org/medical-specialties/student-health/,https://tap360health.org/medical-specialties/student-health/,2026-09-12,text/html; charset=UTF-8,342964,8eaa3c709e299aeac77272d3d7f73be4e102a151c15e88a7a98d50f2ddd06d3b,
tca_carver,https://tcahealth.org/carver-military-academy-school-based-health-center/,https://tcahealth.org/carver-military-academy-school-based-health-center/,2026-09-12,text/html; charset=UTF-8,219743,a8c2349b1e8e1551d954a112ebcdee5a5c6aec701f91fafa101bfb3ea1b094b8,
tca_contact,https://tcahealth.org/contact-us/,https://tcahealth.org/contact-us/,2026-09-12,text/html; charset=UTF-8,260808,b2540061232b454c28d9b1f1cb33b84ac4af573278fe428eeb033bba2760f9ca,
uic_ag,https://live.today.uic.edu/grand-opening-of-ui-healths-auburn-gresham-health-center/,https://live.today.uic.edu/grand-opening-of-ui-healths-auburn-gresham-health-center/,2026-09-12,text/html; charset=UTF-8,131454,50087f8df4b56384e9f0a58508e71f3fc082017dbe35f90b992cb09fcaad6fea,An unrelated client-side credential in the page was replaced with [REDACTED_AZURE_FUNCTION_KEY] before hashing; the hash is of the redacted capture.
uic_drake_open,https://nursing.uic.edu/news-stories/school-based-community-health-center-named-for-uic-nursing-alumna-opens,https://web.archive.org/web/20250330023119id_/https://nursing.uic.edu/news-stories/school-based-community-health-center-named-for-uic-nursing-alumna-opens/,2026-09-12,text/html,234933,0e477b54efb4bff689382721ce010aa1f90df4c256ce451cd0316c7da304ccff,The live URL failed on the access date; captured from the Internet Archive's copy at final_url. An unrelated client-side credential in the page was replaced with [REDACTED_AZURE_FUNCTION_KEY] before hashing; the hash is of the redacted capture.
uic_ocean,https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/,https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/,2026-09-12,text/html; charset=UTF-8,290782,9c40840e8db0978e05155288db715f8e194041bf6bb6b3f231d9e1c5bd527c7f,An unrelated client-side credential in the page was replaced with [REDACTED_AZURE_FUNCTION_KEY] before hashing; the hash is of the redacted capture.
